name,signing_date,signing_age,signing_status,contract_type,length,cap_hit_pct,player_id
RYAN.NUGENT-HOPKINS,"(19, 9, 2013)",20,0,STANDARD CONTRACT,7,0.0933,27
PHIL.KESSEL,"(18, 9, 2009)",21,0,STANDARD CONTRACT,5,0.0951,28
PHIL.KESSEL,"(1, 10, 2013)",25,1,STANDARD CONTRACT,8,0.1244,28
JONATHAN.ERICSSON,"(21, 7, 2008)",24,0,STANDARD CONTRACT,3,0.0159,29
JONATHAN.ERICSSON,"(30, 6, 2011)",27,1,STANDARD CONTRACT,3,0.0505,29
JONATHAN.ERICSSON,"(27, 11, 2013)",29,1,STANDARD CONTRACT,6,0.0661,29
JUSTIN.FAULK,"(24, 3, 2014)",22,0,STANDARD CONTRACT,6,0.07519999999999999,30
RYAN.CALLAHAN,"(13, 7, 2009)",24,0,STANDARD CONTRACT,2,0.0405,31
RYAN.CALLAHAN,"(27, 7, 2011)",26,0,STANDARD CONTRACT,3,0.0665,31
RYAN.CALLAHAN,"(25, 6, 2014)",29,1,STANDARD CONTRACT,6,0.0902,31
MARIAN.GABORIK,"(31, 10, 2003)",21,1,STANDARD CONTRACT,3,0.047699999999999985,32
MARIAN.GABORIK,"(5, 7, 2006)",24,0,STANDARD CONTRACT,3,0.1439,32
MARIAN.GABORIK,"(1, 7, 2009)",27,1,STANDARD CONTRACT,5,0.132,32
MARIAN.GABORIK,"(26, 6, 2014)",32,1,STANDARD CONTRACT,7,0.0758,32
MATT.NISKANEN,"(16, 9, 2010)",23,0,STANDARD CONTRACT,2,0.0253,33
MATT.NISKANEN,"(29, 6, 2012)",25,0,STANDARD CONTRACT,2,0.0383,33
MATT.NISKANEN,"(1, 7, 2014)",27,1,STANDARD CONTRACT,7,0.0833,33
PATRICK.KANE,"(2, 12, 2009)",21,0,STANDARD CONTRACT,5,0.1109,34
PATRICK.KANE,"(9, 7, 2014)",25,1,STANDARD CONTRACT,8,0.1522,34
JONATHAN.TOEWS,"(2, 12, 2009)",21,0,STANDARD CONTRACT,5,0.1109,35
JONATHAN.TOEWS,"(9, 7, 2014)",26,1,STANDARD CONTRACT,8,0.1522,35
BRANDON.DUBINSKY,"(19, 9, 2009)",23,0,STANDARD CONTRACT,2,0.0326,36
BRANDON.DUBINSKY,"(21, 7, 2011)",25,0,STANDARD CONTRACT,4,0.0653,36
BRANDON.DUBINSKY,"(11, 7, 2014)",28,1,STANDARD CONTRACT,6,0.0848,36
ANDY.GREENE,"(13, 6, 2007)",24,0,STANDARD CONTRACT,2,0.0136,37
ANDY.GREENE,"(1, 7, 2009)",26,1,STANDARD CONTRACT,2,0.013,37
ANDY.GREENE,"(1, 7, 2011)",28,1,STANDARD CONTRACT,4,0.0467,37
ANDY.GREENE,"(30, 7, 2014)",31,1,STANDARD CONTRACT,5,0.0725,37
P.K..SUBBAN,"(28, 1, 2013)",23,0,STANDARD CONTRACT,2,0.0447,38
P.K..SUBBAN,"(2, 8, 2014)",25,0,STANDARD CONTRACT,8,0.1304,38
CLARKE.MACARTHUR,"(16, 7, 2008)",23,0,STANDARD CONTRACT,1,0.0092,39
CLARKE.MACARTHUR,"(20, 7, 2009)",24,0,STANDARD CONTRACT,1,0.0246,39
CLARKE.MACARTHUR,"(28, 8, 2010)",25,1,STANDARD CONTRACT,1,0.018500000000000003,39
CLARKE.MACARTHUR,"(5, 7, 2011)",26,1,STANDARD CONTRACT,2,0.0505,39
CLARKE.MACARTHUR,"(5, 7, 2013)",28,1,STANDARD CONTRACT,2,0.0505,39
CLARKE.MACARTHUR,"(19, 8, 2014)",29,1,STANDARD CONTRACT,5,0.0674,39
DAVID.KREJCI,"(2, 6, 2009)",23,0,STANDARD CONTRACT,3,0.0661,40
DAVID.KREJCI,"(1, 12, 2011)",25,0,STANDARD CONTRACT,3,0.0816,40
DAVID.KREJCI,"(7, 9, 2014)",28,1,STANDARD CONTRACT,6,0.1051,40
JUSTIN.BRAUN,"(28, 6, 2010)",23,0,STANDARD CONTRACT,3,0.021,41
JUSTIN.BRAUN,"(20, 9, 2014)",27,1,STANDARD CONTRACT,5,0.0551,41
BOBBY.RYAN,"(14, 9, 2010)",23,0,STANDARD CONTRACT,5,0.0859,42
BOBBY.RYAN,"(2, 10, 2014)",27,1,STANDARD CONTRACT,7,0.1051,42
JONAS.BRODIN,"(13, 10, 2014)",21,0,STANDARD CONTRACT,6,0.0604,43
JAKE.MUZZIN,"(18, 7, 2012)",23,0,STANDARD CONTRACT,1,0.0096,44
JAKE.MUZZIN,"(12, 7, 2013)",24,0,STANDARD CONTRACT,2,0.0156,44
JAKE.MUZZIN,"(16, 10, 2014)",25,0,STANDARD CONTRACT,5,0.058,44
TJ.BRODIE,"(31, 7, 2013)",23,0,STANDARD CONTRACT,2,0.033,45
TJ.BRODIE,"(20, 10, 2014)",24,0,STANDARD CONTRACT,5,0.0674,45
CHARLIE.COYLE,"(23, 10, 2014)",22,0,STANDARD CONTRACT,5,0.0464,46
MARCO.SCANDELLA,"(17, 6, 2013)",23,0,STANDARD CONTRACT,2,0.0159,47
MARCO.SCANDELLA,"(29, 11, 2014)",24,0,STANDARD CONTRACT,5,0.058,47
BRENDAN.GALLAGHER,"(29, 11, 2014)",22,0,STANDARD CONTRACT,6,0.0543,48
ALEC.MARTINEZ,"(8, 7, 2011)",23,0,STANDARD CONTRACT,2,0.0115,49
ALEC.MARTINEZ,"(17, 7, 2013)",25,0,STANDARD CONTRACT,2,0.0171,49
ALEC.MARTINEZ,"(4, 12, 2014)",27,1,STANDARD CONTRACT,6,0.058,49
NICK.FOLIGNO,"(21, 7, 2010)",22,0,STANDARD CONTRACT,2,0.0202,50
NICK.FOLIGNO,"(6, 7, 2012)",24,0,STANDARD CONTRACT,3,0.0514,50
NICK.FOLIGNO,"(31, 12, 2014)",27,1,STANDARD CONTRACT,6,0.0797,50
NICK.BJUGSTAD,"(31, 12, 2014)",22,0,STANDARD CONTRACT,6,0.0594,51
MARC.STAAL,"(15, 9, 2010)",23,0,STANDARD CONTRACT,5,0.0669,52
MARC.STAAL,"(18, 1, 2015)",28,1,STANDARD CONTRACT,6,0.0781,52
NICK.LEDDY,"(3, 7, 2013)",22,0,STANDARD CONTRACT,2,0.042,53
NICK.LEDDY,"(24, 2, 2015)",23,0,STANDARD CONTRACT,7,0.0797,53
KYLE.CLIFFORD,"(2, 8, 2013)",22,0,STANDARD CONTRACT,2,0.0167,54
KYLE.CLIFFORD,"(25, 2, 2015)",24,0,STANDARD CONTRACT,5,0.0232,54
JOHNNY.BOYCHUK,"(13, 6, 2007)",23,0,STANDARD CONTRACT,1,0.0094,55
JOHNNY.BOYCHUK,"(30, 6, 2008)",24,0,STANDARD CONTRACT,1,0.0088,55
JOHNNY.BOYCHUK,"(1, 7, 2009)",25,1,STANDARD CONTRACT,1,0.0088,55
JOHNNY.BOYCHUK,"(24, 6, 2010)",26,1,STANDARD CONTRACT,2,0.0316,55
JOHNNY.BOYCHUK,"(14, 2, 2012)",28,1,STANDARD CONTRACT,3,0.0561,55
JOHNNY.BOYCHUK,"(12, 3, 2015)",31,1,STANDARD CONTRACT,7,0.08220000000000001,55
CHRISTOPHER.TANEV,"(22, 8, 2013)",23,0,STANDARD CONTRACT,1,0.0233,56
CHRISTOPHER.TANEV,"(5, 7, 2014)",24,0,STANDARD CONTRACT,1,0.029,56
CHRISTOPHER.TANEV,"(24, 3, 2015)",25,0,STANDARD CONTRACT,5,0.0645,56
JOHN.KLINGBERG,"(17, 4, 2015)",22,0,STANDARD CONTRACT,7,0.0616,57
JEFF.PETRY,"(5, 7, 2012)",24,0,STANDARD CONTRACT,2,0.0292,58
JEFF.PETRY,"(8, 7, 2014)",26,0,STANDARD CONTRACT,1,0.0446,58
JEFF.PETRY,"(2, 6, 2015)",27,1,STANDARD CONTRACT,6,0.0797,58
CARL.SODERBERG,"(13, 4, 2013)",27,0,STANDARD CONTRACT,3,0.015700000000000002,59
CARL.SODERBERG,"(26, 6, 2015)",29,1,STANDARD CONTRACT,5,0.06509999999999999,59
BRENDEN.DILLON,"(5, 10, 2014)",23,0,STANDARD CONTRACT,1,0.0181,60
BRENDEN.DILLON,"(29, 6, 2015)",24,0,STANDARD CONTRACT,5,0.0458,60
DOUGIE.HAMILTON,"(30, 6, 2015)",22,0,STANDARD CONTRACT,6,0.0805,61
MATT.BELESKEY,"(17, 9, 2010)",22,0,STANDARD CONTRACT,2,0.0124,62
MATT.BELESKEY,"(6, 7, 2013)",25,0,STANDARD CONTRACT,2,0.021,62
MATT.BELESKEY,"(1, 7, 2015)",27,1,STANDARD CONTRACT,5,0.0521,62
MICHAEL.FROLIK,"(15, 7, 2011)",23,0,STANDARD CONTRACT,3,0.0363,63
MICHAEL.FROLIK,"(29, 7, 2014)",26,0,STANDARD CONTRACT,1,0.0478,63
MICHAEL.FROLIK,"(1, 7, 2015)",27,1,STANDARD CONTRACT,5,0.0589,63
ARTEM.ANISIMOV,"(8, 7, 2011)",23,0,STANDARD CONTRACT,2,0.0292,64
ARTEM.ANISIMOV,"(26, 6, 2013)",25,0,STANDARD CONTRACT,3,0.051100000000000007,64
ARTEM.ANISIMOV,"(1, 7, 2015)",27,1,STANDARD CONTRACT,5,0.0623,64
ANDREJ.SEKERA,"(20, 7, 2009)",23,0,STANDARD CONTRACT,2,0.0176,65
ANDREJ.SEKERA,"(19, 7, 2011)",25,0,STANDARD CONTRACT,4,0.042800000000000005,65
ANDREJ.SEKERA,"(1, 7, 2015)",29,1,STANDARD CONTRACT,6,0.077,65
BRANDON.SAAD,"(3, 7, 2015)",22,0,STANDARD CONTRACT,6,0.08220000000000001,67
RYAN.O'REILLY,"(28, 2, 2013)",22,0,STANDARD CONTRACT,2,0.07780000000000001,68
RYAN.O'REILLY,"(23, 7, 2014)",23,0,STANDARD CONTRACT,2,0.087,68
RYAN.O'REILLY,"(3, 7, 2015)",24,1,STANDARD CONTRACT,7,0.105,68
VLADIMIR.TARASENKO,"(7, 7, 2015)",23,0,STANDARD CONTRACT,8,0.1027,71
RYAN.KESLER,"(14, 9, 2006)",22,0,STANDARD CONTRACT,1,0.0432,77
RYAN.KESLER,"(24, 5, 2007)",22,0,STANDARD CONTRACT,3,0.0348,77
RYAN.KESLER,"(19, 3, 2010)",25,0,STANDARD CONTRACT,6,0.0842,77
RYAN.KESLER,"(15, 7, 2015)",30,1,STANDARD CONTRACT,6,0.0963,77
CRAIG.SMITH,"(14, 9, 2012)",23,0,STANDARD CONTRACT,2,0.0333,78
CRAIG.SMITH,"(20, 7, 2015)",25,0,STANDARD CONTRACT,5,0.0595,78
ADAM.LARSSON,"(1, 7, 2014)",21,0,STANDARD CONTRACT,1,0.013,80
ADAM.LARSSON,"(25, 7, 2015)",22,0,STANDARD CONTRACT,6,0.0584,80
DEREK.STEPAN,"(26, 9, 2013)",23,0,STANDARD CONTRACT,2,0.0478,82
DEREK.STEPAN,"(27, 7, 2015)",25,0,STANDARD CONTRACT,6,0.091,82
SEAN.COUTURIER,"(20, 7, 2013)",20,0,STANDARD CONTRACT,2,0.0272,83
SEAN.COUTURIER,"(28, 7, 2015)",22,0,STANDARD CONTRACT,6,0.0607,83
JAKUB.VORACEK,"(1, 7, 2011)",21,0,STANDARD CONTRACT,1,0.035,85
JAKUB.VORACEK,"(26, 7, 2012)",22,0,STANDARD CONTRACT,4,0.0708,85
JAKUB.VORACEK,"(30, 7, 2015)",25,1,STANDARD CONTRACT,8,0.1155,85
BRANDON.SUTTER,"(13, 7, 2011)",22,0,STANDARD CONTRACT,3,0.0321,86
BRANDON.SUTTER,"(5, 8, 2014)",25,0,STANDARD CONTRACT,2,0.0478,86
BRANDON.SUTTER,"(4, 8, 2015)",26,1,STANDARD CONTRACT,5,0.0599,86
MARK.GIORDANO,"(1, 7, 2008)",24,0,STANDARD CONTRACT,3,0.015700000000000002,89
MARK.GIORDANO,"(29, 10, 2010)",27,1,STANDARD CONTRACT,5,0.0677,89
MARK.GIORDANO,"(25, 8, 2015)",31,1,STANDARD CONTRACT,6,0.0925,89
CODY.EAKIN,"(29, 9, 2014)",23,0,STANDARD CONTRACT,2,0.0275,90
CODY.EAKIN,"(28, 8, 2015)",24,0,STANDARD CONTRACT,4,0.0539,90
DAVID.SAVARD,"(17, 7, 2013)",22,0,STANDARD CONTRACT,1,0.011,92
DAVID.SAVARD,"(5, 7, 2014)",23,0,STANDARD CONTRACT,2,0.0188,92
DAVID.SAVARD,"(8, 9, 2015)",24,0,STANDARD CONTRACT,5,0.0595,92
OSCAR.KLEFBOM,"(19, 9, 2015)",22,0,STANDARD CONTRACT,7,0.0571,96
ERIK.JOHNSON,"(2, 8, 2010)",22,0,STANDARD CONTRACT,2,0.0438,98
ERIK.JOHNSON,"(3, 7, 2012)",24,0,STANDARD CONTRACT,4,0.0625,98
ERIK.JOHNSON,"(22, 9, 2015)",27,1,STANDARD CONTRACT,7,0.08220000000000001,98
BRENT.SEABROOK,"(18, 2, 2008)",22,0,STANDARD CONTRACT,3,0.0617,100
BRENT.SEABROOK,"(27, 2, 2011)",25,0,STANDARD CONTRACT,5,0.0976,100
BRENT.SEABROOK,"(26, 9, 2015)",30,1,STANDARD CONTRACT,8,0.0963,100
MATTIAS.EKHOLM,"(9, 7, 2014)",24,0,STANDARD CONTRACT,2,0.015,103
MATTIAS.EKHOLM,"(26, 10, 2015)",25,0,STANDARD CONTRACT,6,0.0525,103
JUSTIN.ABDELKADER,"(24, 8, 2010)",23,0,STANDARD CONTRACT,2,0.0133,108
JUSTIN.ABDELKADER,"(15, 9, 2012)",25,0,STANDARD CONTRACT,4,0.03,108
JUSTIN.ABDELKADER,"(12, 11, 2015)",28,1,STANDARD CONTRACT,7,0.0582,108
JARED.SPURGEON,"(5, 7, 2013)",23,0,STANDARD CONTRACT,3,0.0415,114
